"group"	"pr"	"Location"	"Pval"	"Beta"	"Br"	"WT"	"hcl"	"ipd3"	"latd"	"nad1"	"dnf1"	"dnf2"	"dnf3"	"dnf4"	"dnf6"	"dnf7"	"dnf1dnf2"	"dnf5dnf2"	"rdn1"	"sunn1"	"sunn4"	"Description"
4417	4	"USDA1106-psyma"	0.000169442	0.4262652	21	1600	4	8178	4443	5893	1469	2510	2031	8755	5988	4381	2689	4789	5647	3846	3041	"CDO30_RS24215:CopG family transcriptional regulator (pseudogene)"
6847	5	"USDA1106-psyma"	0.0001760919	-0.495059	7	1492	5	8329	1858	1201	975	2814	1656	7984	7376	4963	1595	4401	4408	2230	8254	"CDO30_RS19555:ccoN, cytochrome-c oxidase%2C cbb3-type subunit I; protein_id=WP_010967400.1"
7969	1	"USDA1106-psyma"	5.220919e-11	1.258107	17	2	343	14	36	1	1	2	1082	24	1	16	1	28	6	6	2	"CDO30_RS22325:hypothetical protein; protein_id=WP_041170015.1"
4737	1	"USDA1106-psyma"	2.741946e-05	0.6256984	3	986	23	848	200	223	368	261	1	300	294	666	1168	1546	337	1363	544	"CDO30_RS21370:cold-shock protein; protein_id=WP_010967097.1"
2775	2	"USDA1106-psyma"	4.516179e-05	0.5261611	19	205	92	89	87	88	46	146	2	302	72	87	183	691	42	126	266	"CDO30_RS21375:PhzF family phenazine biosynthesis protein; protein_id=WP_010967096.1"
4836	3	"USDA1106-psyma"	0.0002091606	0.5446269	15	376	7606	2448	896	1041	387	488	3	8481	791	1227	1112	4998	1914	1896	1089	"CDO30_RS21175:TRAP transporter small permease; protein_id=WP_010967133.1"
2196	4	"USDA1106-psyma"	0.0003452912	0.2279319	913	5327	416	822	1271	2072	2507	3958	4	8006	2591	1444	5761	2604	1886	1757	2695	"CDO30_RS18965:traA, Ti-type conjugative transfer relaxase TraA; protein_id=WP_010967486.1"
8922	3	"USDA1106-psyma"	0.0001603728	0.5234962	43	20	9344	27	39	25	16	58	8711	359	3	98	21	89	72	15	59	"CDO30_RS19190:nodQ, bifunctional sulfate adenylyltransferase/adenylyl-sulfate kinase NodQ; protein_id=WP_010967450.1"
4386	5	"USDA1106-psyma"	2.592956e-05	-0.7824156	8	55	694	15	401	3	12	11	8958	40	17	11	9	5	18	23	25	"CDO30_RS22055:class I SAM-dependent methyltransferase; protein_id=WP_010968214.1"
4107	4	"USDA1106-psyma"	5.861481e-07	0.6860709	59	10	46	24	227	4	58	16	201	46	13	95	20	31	41	43	21	"CDO30_RS22005:amidase; protein_id=WP_010968222.1"
10903	1	"USDA1106-psymb"	1.673934e-06	0.9098244	5	2182	9965	1	286	57	310	31	6333	33	2335	4	42	9	126	32	221	"CDO30_RS27310:ABC transporter ATP-binding protein; protein_id=WP_010975248.1"
10601	2	"USDA1106-psymb"	2.837069e-06	0.9533063	2	283	5877	2	1	43	270	5	2400	77	16	1	30	10	100	10	480	"CDO30_RS28740:pepT, peptidase T; protein_id=WP_041170089.1"
12013	3	"USDA1106-psymb"	6.617565e-06	0.9395265	3	17	2649	3	335	13	13	2	10169	31	415	14	3	40	28	27	378	"CDO30_RS28675:hypothetical protein; protein_id=WP_010975483.1"
9865	4	"USDA1106-psymb"	1.321757e-05	1.012146	1	12	4538	4	2138	7	17	28	5103	5	1179	12	4	8	4	29	100	"CDO30_RS32685:four-carbon acid sugar kinase family protein; protein_id=WP_010976194.1"
10121	5	"USDA1106-psymb"	1.758515e-05	0.8540814	8	4	5311	5	843	9	39	9	906	15	77	7	17	14	10	78	93	"CDO30_RS27930:LysR family transcriptional regulator; protein_id=WP_010975355.1"
7135	2	"USDA1106-psymb"	2.836718e-05	0.9430465	13	7244	2394	1816	5863	6587	1969	2640	2236	9243	4211	841	4120	2758	2271	4579	9190	"CDO30_RS26745:dihydrodipicolinate synthase family protein; protein_id=WP_017273711.1"
10140	3	"USDA1106-psymb"	3.556162e-05	1.176652	4	175	594	961	3	173	299	7	2	2598	88	448	130	1966	788	219	228	"CDO30_RS27435:four-carbon acid sugar kinase family protein; protein_id=WP_010975268.1"
10913	5	"USDA1106-psymb"	4.793735e-05	1.21668	2	397	261	1174	5	200	375	15	3	1321	61	774	249	2231	1520	369	471	"CDO30_RS27440:xanthine dehydrogenase family protein molybdopterin-binding subunit; protein_id=WP_014527494.1"
2730	1	"USDA1106-psymb"	2.051513e-05	0.3199293	107	844	8765	5572	305	1333	2434	620	1541	9026	520	3706	2496	7240	7306	8290	9265	"CDO30_RS29490:mechanosensitive ion channel family protein; protein_id=WP_041170095.1"
3035	2	"USDA1106-psymb"	3.837681e-05	0.3191611	108	1418	2718	4414	8720	6170	8261	966	190	6714	1055	7342	3107	6671	6499	8638	8746	"CDO30_RS29490:mechanosensitive ion channel family protein; protein_id=WP_041170095.1"
1060	3	"USDA1106-psymb"	7.421443e-05	0.2785238	193	86	282	152	46	1159	1287	391	1272	5	82	223	729	925	22	408	1459	"CDO30_RS27010:sugar ABC transporter ATP-binding protein; protein_id=WP_015456585.1"
1482	4	"USDA1106-psymb"	8.444067e-05	0.2843318	174	1462	243	1329	1320	771	1438	693	142	501	1000	527	575	401	1448	1232	897	"CDO30_RS27015:ABC transporter permease; protein_id=WP_010975200.1"
8603	5	"USDA1106-psymb"	8.603401e-05	0.4717715	2	3793	9067	680	1400	3485	5274	1721	1667	308	1142	1263	5366	3838	2496	8834	8749	"CDO30_RS29305:amino acid ABC transporter ATP-binding protein; protein_id=WP_003537169.1"
9941	3	"USDA1106-psymb"	2.469942e-05	0.7962987	13	25	1848	11	1001	148	3	19	724	10	11	15	27	6	2	19	31	"CDO30_RS25485:pyridoxamine 5'-phosphate oxidase family protein; protein_id=WP_010974934.1"
13710	4	"USDA1106-psymb"	3.785378e-05	0.9088431	3	5	8080	56	2555	23	4	215	3680	305	228	95	21	30	35	9	29	"CDO30_RS31870:hypothetical protein (pseudogene)"
8364	5	"USDA1106-psymb"	4.168031e-05	0.8639558	7	3496	5335	7225	8073	7128	1286	8699	3193	2518	7858	1995	5414	5447	3390	6207	4338	"CDO30_RS32205:sugar ABC transporter permease; protein_id=WP_010976104.1"
10915	3	"USDA1106-psymb"	9.232245e-05	0.8323965	2	197	436	1075	11	203	152	3	1	6290	95	624	112	2294	560	231	276	"CDO30_RS27440:xanthine dehydrogenase family protein molybdopterin-binding subunit; protein_id=WP_014527494.1"
9671	4	"USDA1106-psymb"	1.421428e-06	0.6775535	4	120	4481	1364	12	93	180	134	4	3462	569	477	217	1488	684	228	201	"CDO30_RS27435:four-carbon acid sugar kinase family protein; protein_id=WP_010975268.1"
9254	5	"USDA1106-psymb"	1.237354e-05	0.535943	12	523	872	617	137	1123	509	54	5	3404	338	730	379	1662	887	667	749	"CDO30_RS27440:xanthine dehydrogenase family protein molybdopterin-binding subunit; protein_id=WP_014527494.1"
10882	1	"USDA1106-psymb"	1.095117e-06	0.7919452	2	434	13565	198	9089	8	42	95	265	1	52	49	28	3	40	151	36	"CDO30_RS30150:glycosyltransferase; protein_id=WP_010975739.1"
7355	3	"USDA1106-psymb"	3.141034e-05	0.6296324	10	20	1558	71	184	177	159	58	579	3	91	136	179	517	190	195	3345	"CDO30_RS32015:sugar ABC transporter substrate-binding protein; protein_id=WP_010976071.1"
12884	3	"USDA1106-psymb"	0.0002547725	-0.3878752	89	2097	9696	118	18	24	1596	69	1172	27	3	148	667	197	2210	887	9237	"CDO30_RS34595:helix-turn-helix transcriptional regulator (pseudogene)"
6690	4	"USDA1106-psymb"	0.0002715087	0.4437133	42	4600	8733	3014	4517	5594	6872	5660	7486	5698	8373	7203	8210	9215	7679	7777	4596	"CDO30_RS27870:LacI family DNA-binding transcriptional regulator; protein_id=WP_010975343.1"
12303	5	"USDA1106-psymb"	0.0002979966	0.5081827	10	1011	11239	204	44	338	480	87	188	3944	5	1637	487	2241	1072	1132	190	"CDO30_RS27095:sulfatase (pseudogene)"
10281	5	"USDA1106-psymb"	2.158439e-05	0.8363472	4	1054	9952	14	4073	42	149	96	2739	137	180	5	47	5	32	805	150	"CDO30_RS26680:zinc-binding dehydrogenase; protein_id=WP_010975138.1"
6403	2	"USDA1106-psymb"	0.0001080458	-0.5854458	30	1900	3584	4340	1222	2055	588	1546	4572	5177	2091	821	1180	1714	794	776	3030	"CDO30_RS29535:ABC transporter substrate-binding protein; protein_id=WP_010975625.1"
9525	4	"USDA1106-psymb"	0.0002446807	0.6962649	5	71	2422	254	474	4	12	57	335	413	560	74	11	91	9	26	4	"CDO30_RS31425:xdhA, xanthine dehydrogenase small subunit; protein_id=WP_010975969.1"
10909	4	"USDA1106-psymb"	1.165408e-05	0.7436798	10	29	5175	48	1368	65	37	89	5565	40	2535	98	29	172	24	4	73	"CDO30_RS27355:aspartate aminotransferase family protein; protein_id=WP_010975253.1"
6943	1	"USDA1106-psymb"	3.02844e-05	0.5667471	28	940	5387	1400	2698	3973	88	1069	1546	3155	235	645	1011	457	194	45	566	"CDO30_RS28095:flavodoxin family protein; protein_id=WP_010975382.1"
13501	3	"USDA1106-psymb"	4.222775e-05	0.4521509	129	858	1256	2640	3064	1355	2606	1229	16	9105	11246	247	386	778	345	3186	3	"CDO30_RS31845:glycoside hydrolase family 19 protein (pseudogene)"
6369	5	"USDA1106-psymb"	0.0001226313	0.4792643	95	2323	5793	2419	3624	6157	503	8915	7775	7238	9259	786	2186	693	553	2927	6077	"CDO30_RS28095:flavodoxin family protein; protein_id=WP_010975382.1"
901	1	"USDA1106-chr"	7.375114e-05	1.477372	3	27	396	1	2	6	2	2	219	14	2	2	7	25	5	15	37	"CDO30_RS16380:recA, recombinase RecA; protein_id=WP_010969478.1"
1462	3	"USDA1106-chr"	0.0008662343	0.9024851	46	736	1066	3	589	263	571	168	353	546	1153	46	190	48	269	475	454	"CDO30_RS06960:MFS transporter; protein_id=WP_010968432.1"
991	4	"USDA1106-chr"	0.0009022748	1.504056	1	167	1374	4	3	7	22	7	284	203	12	6	3	23	55	8	192	"CDO30_RS04135:MBL fold metallo-hydrolase; protein_id=WP_015445556.1"
842	5	"USDA1106-chr"	0.0009022748	1.504056	2	168	1375	5	4	8	23	8	285	204	13	7	4	24	56	9	193	"CDO30_RS15555:cobN, cobaltochelatase subunit CobN; protein_id=WP_015445621.1"
838	1	"USDA1106-chr"	6.380245e-06	1.625814	4	289	482	52	1	175	246	37	556	481	1	23	315	113	39	12	262	"CDO30_RS12270:glutamine synthetase family protein; protein_id=WP_013844805.1"
56	5	"USDA1106-chr"	0.001105793	-1.313327	18	43	345	19	5	55	31	22	148	64	29	31	23	256	40	114	125	"CDO30_RS02435:rkpK, UDP-glucose 6-dehydrogenase; protein_id=WP_010969031.1"
213	1	"USDA1106-chr"	6.30224e-05	0.6982207	2	665	1	859	845	661	777	425	241	632	954	690	546	794	473	709	903	"CDO30_RS07655:sarcosine oxidase subunit alpha; protein_id=WP_010968344.1"
984	2	"USDA1106-chr"	8.793581e-05	0.7638754	1	1060	2	988	1251	1539	1085	1127	126	986	1071	1319	1464	1469	1221	1021	1514	"CDO30_RS07660:sarcosine oxidase subunit gamma; protein_id=WP_010968343.1"
262	3	"USDA1106-chr"	0.0004806005	0.6313523	7	609	3	549	977	867	538	1131	397	797	656	665	797	903	655	390	653	"CDO30_RS07610:hypothetical protein; protein_id=WP_013844967.1"
1284	4	"USDA1106-chr"	0.001238302	-0.5554635	21	1180	4	485	355	135	550	201	166	1156	236	192	210	70	482	699	614	"CDO30_RS07580:purU, formyltetrahydrofolate deformylase; protein_id=WP_003532511.1"
990	5	"USDA1106-chr"	0.00175505	0.6388621	5	33	5	65	33	59	26	35	16	23	160	11	36	96	10	74	20	"CDO30_RS01435:NADH ubiquinone oxidoreductase; protein_id=WP_010969147.1"
54	1	"USDA1106-chr"	0.0002128935	-1.137941	18	47	1478	35	53	3	1	55	231	437	92	52	19	94	18	26	71	"CDO30_RS04655:flagellar basal body P-ring protein FlgI; protein_id=WP_003529892.1"
959	3	"USDA1106-chr"	0.000306792	1.454121	1	1	1537	40	12	131	3	49	663	26	3	66	46	363	13	2	44	"CDO30_RS17140:molybdopterin molybdotransferase MoeA; protein_id=WP_010969380.1"
1126	4	"USDA1106-chr"	0.000306792	1.454121	2	2	1538	41	13	132	4	50	664	27	4	67	47	364	14	3	45	"CDO30_RS02085:pdxA, 4-hydroxythreonine-4-phosphate dehydrogenase PdxA; protein_id=WP_010969073.1"
920	3	"USDA1106-chr"	0.0001472207	1.286695	6	564	603	13	18	66	113	3	71	40	10	26	21	15	130	27	156	"CDO30_RS03630:GGDEF domain-containing phosphodiesterase; protein_id=WP_010968870.1"
823	4	"USDA1106-chr"	0.0001472207	1.286695	7	565	604	14	19	67	114	4	72	41	11	27	22	16	131	28	157	"CDO30_RS05195:mscL, large conductance mechanosensitive channel protein MscL; protein_id=WP_010968654.1"
126	5	"USDA1106-chr"	0.0002148481	-1.0789	24	275	42	93	89	24	64	5	3	167	91	24	10	14	53	88	15	"CDO30_RS01280:dprA, DNA-processing protein DprA; protein_id=WP_010969165.1"
10	1	"USDA1106-chr"	0.0008932649	-0.3728907	219	153	1241	89	121	81	1105	113	1	97	93	57	212	444	314	485	179	"CDO30_RS06705:GIY-YIG nuclease family protein; protein_id=WP_010968460.1"
723	2	"USDA1106-chr"	0.001409516	0.4985809	117	10	1282	63	87	58	178	24	2	113	68	19	1	73	84	219	57	"CDO30_RS16025:OmpA family protein; protein_id=WP_041170153.1"
1107	4	"USDA1106-chr"	0.002933376	0.3682401	228	220	577	379	291	87	30	88	4	1029	45	449	12	95	393	29	4	"CDO30_RS08485:autoinducer binding domain-containing protein (pseudogene)"
80	5	"USDA1106-chr"	0.003446313	-0.7282893	10	1500	181	488	382	537	705	53	5	672	177	601	341	302	652	887	285	"CDO30_RS04400:XRE family transcriptional regulator; protein_id=WP_010968764.1"
1221	1	"USDA1106-chr"	7.663184e-05	0.8173093	8	580	137	125	302	74	646	140	669	1	22	78	143	41	870	361	665	"CDO30_RS16125:LTA synthase family protein; protein_id=WP_003534093.1"
558	2	"T073-chr"	0.001394276	-0.3069279	406	490	99	24	44	10	377	128	150	2	108	71	27	28	12	739	363	"CDO28_RS01640:hypothetical protein; protein_id=WP_088195496.1"
1110	4	"USDA1106-chr"	0.001772908	0.5787573	94	14	160	456	127	1522	1472	936	1348	4	207	415	1172	1505	21	581	1184	"CDO30_RS05255:Rrf2 family transcriptional regulator; protein_id=WP_003530125.1"
1451	4	"USDA1106-chr"	0.0002136213	-0.6241513	156	158	1306	20	119	37	118	25	586	65	23	4	52	3	134	35	1465	"CDO30_RS07580:purU, formyltetrahydrofolate deformylase; protein_id=WP_003532511.1"
63	5	"USDA1106-chr"	0.0006684817	-0.4687624	260	297	540	54	21	57	175	54	242	58	127	5	6	1	281	22	190	"CDO30_RS11905:electron transfer flavoprotein subunit beta/FixA family protein; protein_id=WP_010970096.1"
93	2	"USDA1106-chr"	0.001634341	-1.042323	10	152	420	106	149	2	16	48	49	367	210	37	14	21	34	40	17	"CDO30_RS03085:EAL domain-containing protein; protein_id=WP_010968951.1"
448	1	"USDA1106-chr"	0.0002455066	1.234804	1	39	198	27	286	42	11	29	83	188	85	33	31	129	1	31	66	"CDO30_RS02865:HAMP domain-containing histidine kinase; protein_id=WP_010968980.1"
385	3	"USDA1106-chr"	0.0002455066	1.234804	3	41	200	29	288	44	13	31	85	190	87	35	33	131	3	33	68	"CDO30_RS04545:flhA, flagellar biosynthesis protein FlhA; protein_id=WP_010968749.1"
470	4	"USDA1106-chr"	0.0002455066	1.234804	4	42	201	30	289	45	14	32	86	191	88	36	34	132	4	34	69	"CDO30_RS05080:SDR family NAD(P)-dependent oxidoreductase (pseudogene)"
1012	1	"USDA1106-chr"	0.0002261721	0.9481244	11	125	761	105	388	162	38	18	75	50	15	133	53	42	50	1	9	"CDO30_RS05200:hybrid sensor histidine kinase/response regulator; protein_id=WP_010968653.1"
608	1	"USDA1106-chr"	0.0001260824	0.7011632	91	989	1401	1087	699	221	1384	1458	361	674	976	904	369	210	1259	1118	1	"CDO30_RS00140:exbD, TonB system transport protein ExbD; protein_id=WP_010969268.1"
72	2	"USDA1106-chr"	0.0001500783	0.6576652	117	1164	391	1245	245	53	1485	943	422	148	381	405	211	100	976	1196	2	"CDO30_RS17200:mfd, transcription-repair coupling factor; protein_id=WP_010969372.1"
874	3	"USDA1106-chr"	0.0001629444	0.651006	122	1286	425	1461	745	114	1497	1372	898	663	1533	475	286	189	875	1166	3	"CDO30_RS17535:winged helix-turn-helix domain-containing tetratricopeptide repeat protein; protein_id=WP_014526760.1"
1066	5	"USDA1106-chr"	0.0007224952	1.107687	1	131	343	366	638	125	72	64	98	238	97	130	42	34	94	24	5	"CDO30_RS04360:PAS domain S-box protein; protein_id=WP_010968771.1"
